FIPS,Admin2,Province_State,Combined_Key,Population,Confirmed,Confirmed per 100K,Deaths,Deaths per 100K
"""48413""",Schleicher,Texas,"Schleicher, Texas, US",2793,36,1288.936627282492,1,35.80379520229145
"""48415""",Scurry,Texas,"Scurry, Texas, US",16703,481,2879.7222055918096,1,5.986948452373825
"""48417""",Shackelford,Texas,"Shackelford, Texas, US",3265,18,551.3016845329249,0,0.0
"""48419""",Shelby,Texas,"Shelby, Texas, US",25274,400,1582.6541109440532,18,71.21943499248239
"""48421""",Sherman,Texas,"Sherman, Texas, US",3022,40,1323.6267372600928,0,0.0
"""48423""",Smith,Texas,"Smith, Texas, US",232751,2524,1084.4206899218477,23,9.881805019097662
"""48425""",Somervell,Texas,"Somervell, Texas, US",9128,74,810.6923751095529,0,0.0
"""48427""",Starr,Texas,"Starr, Texas, US",64633,2148,3323.379697677657,66,102.11501864372688
"""48429""",Stephens,Texas,"Stephens, Texas, US",9366,42,448.4304932735426,3,32.03074951953875
"""48431""",Sterling,Texas,"Sterling, Texas, US",1291,0,0.0,0,0.0
"""48433""",Stonewall,Texas,"Stonewall, Texas, US",1350,5,370.3703703703704,0,0.0
"""48435""",Sutton,Texas,"Sutton, Texas, US",3776,62,1641.949152542373,1,26.483050847457626
"""48437""",Swisher,Texas,"Swisher, Texas, US",7397,80,1081.5195349465998,2,27.037988373665
"""48439""",Tarrant,Texas,"Tarrant, Texas, US",2102515,30922,1470.7148343769247,445,21.165128429523687
"""48441""",Taylor,Texas,"Taylor, Texas, US",138034,1126,815.7410493066926,23,16.662561397916456
"""48443""",Terrell,Texas,"Terrell, Texas, US",776,2,257.7319587628866,0,0.0
"""48445""",Terry,Texas,"Terry, Texas, US",12337,143,1159.1148577449949,2,16.21139661181811
"""48447""",Throckmorton,Texas,"Throckmorton, Texas, US",1501,4,266.4890073284477,2,133.24450366422386
"""48449""",Titus,Texas,"Titus, Texas, US",32750,1289,3935.8778625954196,15,45.80152671755725
"""48451""",Tom Green,Texas,"Tom Green, Texas, US",119200,2628,2204.6979865771814,26,21.812080536912752
"""48453""",Travis,Texas,"Travis, Texas, US",1273954,22602,1774.161390442669,298,23.3917394191627
"""48455""",Trinity,Texas,"Trinity, Texas, US",14651,156,1064.773735581189,4,27.301890655927924
"""48457""",Tyler,Texas,"Tyler, Texas, US",21672,116,535.2528608342561,2,9.228497600590623
"""48459""",Upshur,Texas,"Upshur, Texas, US",41753,220,526.9082461140517,2,4.790074964673197
"""48461""",Upton,Texas,"Upton, Texas, US",3657,16,437.5170905113481,1,27.344818156959256
"""48463""",Uvalde,Texas,"Uvalde, Texas, US",26741,536,2004.4126995998654,10,37.39575932089301
"""48465""",Val Verde,Texas,"Val Verde, Texas, US",49025,1693,3453.3401325854156,49,99.94900560938297
"""48467""",Van Zandt,Texas,"Van Zandt, Texas, US",56590,375,662.661247570242,3,5.301289980561936
"""48469""",Victoria,Texas,"Victoria, Texas, US",92084,3448,3744.407280309283,41,44.52456452803962
"""48471""",Walker,Texas,"Walker, Texas, US",72971,2902,3976.922339011388,41,56.186704307190524
"""48473""",Waller,Texas,"Waller, Texas, US",55246,443,801.8680085436049,5,9.050428990334142
"""48475""",Ward,Texas,"Ward, Texas, US",11998,89,741.7902983830638,1,8.334722453742291
"""48477""",Washington,Texas,"Washington, Texas, US",35882,515,1435.260018951006,39,108.68959366813444
"""48479""",Webb,Texas,"Webb, Texas, US",276652,7825,2828.463195639287,163,58.918786056128276
"""48481""",Wharton,Texas,"Wharton, Texas, US",41556,704,1694.0995283472905,25,60.15978438733276
"""48483""",Wheeler,Texas,"Wheeler, Texas, US",5056,33,652.6898734177215,0,0.0
"""48485""",Wichita,Texas,"Wichita, Texas, US",132230,1001,757.014293276866,11,8.31883838765787
"""48487""",Wilbarger,Texas,"Wilbarger, Texas, US",12769,69,540.3712115279192,1,7.8314668337379585
"""48489""",Willacy,Texas,"Willacy, Texas, US",21358,691,3235.3216593313978,29,135.78050379248992
"""48491""",Williamson,Texas,"Williamson, Texas, US",590551,6245,1057.4869909626773,91,15.409338058863673
"""48493""",Wilson,Texas,"Wilson, Texas, US",51070,439,859.6044644605445,19,37.20383786959076
"""48495""",Winkler,Texas,"Winkler, Texas, US",8010,84,1048.689138576779,1,12.484394506866417
"""48497""",Wise,Texas,"Wise, Texas, US",69984,409,584.4192958390489,6,8.573388203017831
"""48499""",Wood,Texas,"Wood, Texas, US",45539,316,693.9107138935858,7,15.371439864731329
"""48501""",Yoakum,Texas,"Yoakum, Texas, US",8713,102,1170.6645242740733,3,34.43130953747274
"""48503""",Young,Texas,"Young, Texas, US",18010,169,938.3675735702387,4,22.20988339811216
"""48505""",Zapata,Texas,"Zapata, Texas, US",14179,172,1213.0615699273574,2,14.105367092178575
"""48507""",Zavala,Texas,"Zavala, Texas, US",11840,210,1773.6486486486485,5,42.22972972972973
