Date,Fairfield Confirmed per 100k,Hartford Confirmed per 100k,Litchfield Confirmed per 100k,Middlesex Confirmed per 100k,New Haven Confirmed per 100k,New London Confirmed per 100k,Tolland Confirmed per 100k,Windham Confirmed per 100k,Fairfield Deaths per 100k,Hartford Deaths per 100k,Litchfield Deaths per 100k,Middlesex Deaths per 100k,New Haven Deaths per 100k,New London Deaths per 100k,Tolland Deaths per 100k,Windham Deaths per 100k,Fairfield Log Confirmed,Hartford Log Confirmed,Litchfield Log Confirmed,Middlesex Log Confirmed,New Haven Log Confirmed,New London Log Confirmed,Tolland Log Confirmed,Windham Log Confirmed,Fairfield Log Deaths,Hartford Log Deaths,Litchfield Log Deaths,Middlesex Log Deaths,New Haven Log Deaths,New London Log Deaths,Tolland Log Deaths,Windham Log Deaths,Fairfield New Cases,Hartford New Cases,Litchfield New Cases,Middlesex New Cases,New Haven New Cases,New London New Cases,Tolland New Cases,Windham New Cases,Fairfield New Deaths,Hartford New Deaths,Litchfield New Deaths,Middlesex New Deaths,New Haven New Deaths,New London New Deaths,Tolland New Deaths,Windham New Deaths,Fairfield Total Confirmed,Hartford Total Confirmed,Litchfield Total Confirmed,Middlesex Total Confirmed,New Haven Total Confirmed,New London Total Confirmed,Tolland Total Confirmed,Windham Total Confirmed,Fairfield Total Deaths,Hartford Total Deaths,Litchfield Total Deaths,Middlesex Total Deaths,New Haven Total Deaths,New London Total Deaths,Tolland Total Deaths,Windham Total Deaths
4/9/20,517.52723325404,164.96209572511552,174.6768478315117,126.20355093698441,255.39422315348105,52.41208720768006,96.20424492937282,44.52741004606874,18.86928462089699,8.410711882653748,7.208885783522705,8.618779088379425,9.12540055243771,2.262392253568924,8.625208166081702,0.8562963470397836,3.6886867242841235,3.16790781000148,2.499687082618404,2.3138672203691533,3.3392526340327,2.146128035678238,2.164352855784437,1.724275869600789,2.2528530309798933,1.8808135922807914,1.146128035678238,1.1760912590556813,1.8976270912904414,0.8450980400142568,1.146128035678238,0.3010299956639812,746.0,426.0,60.0,55.0,519.0,54.0,34.0,9.0,46.0,27.0,4.0,7.0,18.0,2.0,0.0,0.0,4882,1471,315,205,2183,139,145,52,178,75,13,14,78,6,13,1
4/10/20,549.1173839114967,181.1106625398107,191.86726777683506,147.75049865793298,278.7926861084495,58.82219859279201,100.84858778803219,50.52148447534723,21.519465045180276,9.868568608980397,8.872474810489484,10.465660321603586,11.465246847934559,2.6394576291637444,9.288685717318755,0.8562963470397836,3.714413592287121,3.208441356438567,2.5403294747908736,2.3820170425748683,3.377306251068199,2.1958996524092336,2.184691430817599,1.7781512503836436,2.3096301674258988,1.9493900066449128,1.2304489213782739,1.255272505103306,1.99563519459755,0.9030899869919435,1.1760912590556813,0.3010299956639812,298.0,144.0,31.0,35.0,200.0,17.0,7.0,7.0,25.0,13.0,3.0,3.0,20.0,1.0,1.0,0.0,5180,1615,346,240,2383,156,152,59,203,88,16,17,98,7,14,1
4/11/20,573.1810221639889,205.44565558695552,215.15751415436998,178.53185254500235,317.63413461369726,69.75709448504182,113.45466126153623,56.51555890462571,23.32158773369291,11.326425335307048,11.090593513111855,11.081287399344973,12.518177680908142,2.6394576291637444,9.95216326855581,0.8562963470397836,3.7330366829335797,3.2631624649622166,2.5899496013257077,2.4638929889859074,3.433929765608464,2.2695129442179165,2.2355284469075487,1.8260748027008264,2.3443922736851106,2.0086001717619175,1.3222192947339193,1.2787536009528289,2.03342375548695,0.9030899869919435,1.2041199826559248,0.3010299956639812,227.0,217.0,42.0,50.0,332.0,29.0,19.0,7.0,17.0,13.0,4.0,1.0,9.0,0.0,1.0,0.0,5407,1832,388,290,2715,185,171,66,220,101,20,18,107,7,15,1
4/12/20,586.643938719348,214.64136724532366,223.47545928920385,184.07249624467482,344.65935932668583,71.64242136301591,120.7529143251438,56.51555890462571,26.28978980889019,13.008567711837797,13.308712215734227,11.081287399344973,13.92208545820625,2.6394576291637444,11.279118371029917,0.8562963470397836,3.7431176252147416,3.2821687783046416,2.606381365110605,2.4771212547196626,3.469380135849925,2.2810333672477277,2.2624510897304293,1.8260748027008264,2.3961993470957363,2.0681858617461617,1.3979400086720377,1.2787536009528289,2.0791812460476247,0.9030899869919435,1.255272505103306,0.3010299956639812,127.0,82.0,15.0,9.0,231.0,5.0,11.0,0.0,28.0,15.0,4.0,0.0,12.0,0.0,2.0,0.0,5534,1914,403,299,2946,190,182,66,248,116,24,18,119,7,17,1
4/13/20,636.4673306958738,251.5363567038981,247.32023534239437,208.69757935433032,392.8601930139209,83.70851338205017,129.37812249122553,71.07259680430204,27.77389084648883,14.914995738572648,13.308712215734227,11.696914477086361,15.793962494603727,2.6394576291637444,11.279118371029917,0.8562963470397836,3.7785130117389247,3.3510228525841237,2.6503075231319366,2.531478917042255,3.526210003841664,2.3483048630481607,2.292256071356476,1.9242792860618816,2.419955748489758,2.1271047983648077,1.3979400086720377,1.3010299956639813,2.1335389083702174,0.9030899869919435,1.255272505103306,0.3010299956639812,470.0,329.0,43.0,40.0,412.0,32.0,13.0,17.0,14.0,17.0,0.0,1.0,16.0,0.0,0.0,0.0,6004,2243,446,339,3358,222,195,83,262,133,24,19,135,7,17,1
4/14/20,658.6228390428821,265.7784954918584,255.08365080157267,218.5476125981925,414.50377124726674,85.59384026002428,133.35898779864783,74.49778219246117,30.424071270772114,17.157852240613643,16.08136059401219,12.928168632569134,17.665839531001208,2.6394576291637444,11.942595922266971,0.8562963470397836,3.7933712489189557,3.3749315539781883,2.663700925389648,2.5514499979728753,3.5494937132150133,2.357934847000454,2.305351369446624,1.9444826721501687,2.459392487759231,2.187520720836463,1.4771212547196624,1.3424226808222062,2.1818435879447726,0.9030899869919435,1.2787536009528289,0.3010299956639812,209.0,127.0,14.0,16.0,185.0,5.0,6.0,4.0,25.0,20.0,5.0,2.0,16.0,0.0,1.0,0.0,6213,2370,460,355,3543,227,201,87,287,153,29,21,151,7,18,1
4/15/20,686.9267659742276,288.2070605122684,271.7195410712404,233.3226624639858,439.6571189238579,88.98742864037767,143.31115106720364,76.21037488654073,38.69263419453596,23.886421746736644,19.408538647945743,17.23755817675885,22.813501381094277,2.6394576291637444,14.596506127215186,0.8562963470397836,3.8116420214531512,3.4101020766428607,2.6910814921229687,2.57978359661681,3.5750723257138124,2.374748346010104,2.3364597338485296,1.954242509439325,2.5634810853944106,2.330413773349191,1.5563025007672873,1.462397997898956,2.292256071356476,0.9030899869919435,1.3617278360175928,0.3010299956639812,267.0,200.0,30.0,24.0,215.0,9.0,15.0,2.0,78.0,60.0,6.0,7.0,44.0,0.0,4.0,0.0,6480,2570,490,379,3758,236,216,89,365,213,35,28,195,7,22,1
4/16/20,722.5451908765949,320.61633696676085,296.6733764757421,242.55706863010664,487.03900640766904,96.15167077667925,159.89808984812998,74.49778219246117,43.03893009036055,27.250706499798145,24.399305728846077,18.468812332241622,25.036355361816284,3.3935883803533855,14.596506127215186,0.8562963470397836,3.8335932939984563,3.456366033129043,2.72916478969277,2.59659709562646,3.6195107208384987,2.4082399653118496,2.383815365980431,1.9444826721501687,2.60959440922522,2.387389826338729,1.6532125137753437,1.4913616938342726,2.3324384599156054,1.0,1.3617278360175928,0.3010299956639812,336.0,289.0,45.0,15.0,405.0,19.0,25.0,-2.0,41.0,30.0,9.0,2.0,19.0,2.0,0.0,0.0,6816,2859,535,394,4163,255,241,87,406,243,44,30,214,9,22,1
4/17/20,757.5275724771342,338.1106176826807,315.52738544803225,259.7946268068655,528.8052627822879,110.10308967368762,171.17720821915992,78.77926392766008,45.05306721281585,29.829991477145295,25.508365080157265,19.700066487724396,26.79124008343892,3.7706537559482065,15.923461229689295,1.7125926940795673,3.854123782101167,3.4794313371977363,2.7558748556724915,2.6263403673750423,3.655234507034294,2.4668676203541096,2.413299764081252,1.968482948553935,2.629409599102719,2.4265112613645754,1.6720978579357175,1.5185139398778875,2.361727836017593,1.0413926851582251,1.3979400086720377,0.47712125471966244,330.0,156.0,34.0,28.0,357.0,37.0,17.0,5.0,19.0,23.0,2.0,2.0,15.0,1.0,2.0,1.0,7146,3015,569,422,4520,292,258,92,425,266,46,32,229,10,24,2
4/18/20,780.5311385599131,358.4084690261517,328.83609766376645,275.8009308281416,554.8945489770778,118.7755933123685,179.13893883400453,83.060745662859,45.795117731615164,32.40927645449244,26.617424431468454,22.778201876431336,28.195147860737027,3.7706537559482065,15.923461229689295,1.7125926940795673,3.867113779831977,3.504742636271688,2.7737864449811935,2.6522463410033232,3.6761446803562063,2.499687082618404,2.432969290874406,1.9912260756924949,2.6364878963533656,2.462397997898956,1.6901960800285136,1.5797835966168101,2.383815365980431,1.0413926851582251,1.3979400086720377,0.47712125471966244,217.0,181.0,24.0,26.0,223.0,23.0,12.0,5.0,7.0,23.0,2.0,5.0,12.0,0.0,0.0,0.0,7363,3196,593,448,4743,315,270,97,432,289,48,37,241,10,24,2
