Date,Fairfield,Hartford,Litchfield,Middlesex,New Haven,New London,Tolland,Windham
6/3/20,136.6433026760462,141.1878168034809,73.75244686219382,93.57531581669089,115.822391627094,34.6900145547235,39.80865307422324,11.98814885855697
6/4/20,137.06733154393152,141.97281657919524,74.30697653784942,94.80656997217366,116.0563762566437,35.44414530591314,39.80865307422324,11.98814885855697
6/5/20,138.23341093061617,143.2063876553178,74.30697653784942,95.42219704991504,116.8753224600676,35.82121068150796,39.80865307422324,11.98814885855697
6/6/20,138.76344701547282,143.4306733055219,74.30697653784942,96.65345120539783,117.81126097826635,35.82121068150796,39.80865307422324,11.98814885855697
6/7/20,139.0814686663868,144.32781590633832,74.30697653784942,97.88470536088059,118.16223792259088,35.82121068150796,39.80865307422324,11.98814885855697
6/8/20,139.50549753427214,144.7763872067465,74.30697653784942,98.50033243862198,118.5132148669154,36.19827605710278,39.80865307422324,11.98814885855697
6/9/20,139.82351918518611,144.7763872067465,75.41603588916061,100.34721367184615,118.86419181123993,36.19827605710278,40.47213062546029,12.844445205596752
6/10/20,140.03553361912878,146.1221011079711,74.30697653784942,100.96284074958751,119.80013032943866,36.5753414326976,40.47213062546029,11.98814885855697
6/11/20,141.30762022278475,146.68281523348136,74.86150621350501,101.57846782732891,120.61907653286255,36.95240680829242,41.135608176697346,11.98814885855697
6/12/20,141.7316490906701,147.2435293589916,74.86150621350501,102.19409490507032,120.97005347718708,36.95240680829242,41.135608176697346,11.98814885855697
6/13/20,142.57970682644074,148.140671959808,74.86150621350501,103.42534906055307,121.78899968061098,37.706537559482065,41.135608176697346,11.98814885855697
6/14/20,142.68571404341208,148.8135289104203,75.41603588916061,105.27223029377724,122.13997662493551,38.08360293507688,41.135608176697346,11.98814885855697
6/15/20,142.79172126038338,148.92567173552237,74.86150621350501,105.27223029377724,122.25696893971036,38.46066831067171,41.135608176697346,11.98814885855697
6/16/20,143.1097429112974,149.14995738572645,74.86150621350501,105.27223029377724,122.37396125448521,38.46066831067171,41.135608176697346,11.98814885855697
